Region/Country/Area,Population density and surface area,Year,Series,Value
422,Lebanon,2024,Population mid-year estimates for males (millions),2.82
422,Lebanon,2024,Population mid-year estimates for females (millions),2.98
422,Lebanon,2024,Sex ratio (males per 100 females),94.7
422,Lebanon,2024,Population aged 0 to 14 years old (percentage),26.2
422,Lebanon,2024,Population aged 60+ years old (percentage),14.7
422,Lebanon,2024,Population density,567.5
426,Lesotho,2010,Population mid-year estimates (millions),2.00
426,Lesotho,2010,Population mid-year estimates for males (millions),0.97
426,Lesotho,2010,Population mid-year estimates for females (millions),1.03
426,Lesotho,2010,Sex ratio (males per 100 females),94.5
426,Lesotho,2010,Population aged 0 to 14 years old (percentage),36.5
426,Lesotho,2010,Population aged 60+ years old (percentage),6.2
426,Lesotho,2010,Population density,65.8
426,Lesotho,2015,Population mid-year estimates (millions),2.10
426,Lesotho,2015,Population mid-year estimates for males (millions),1.02
426,Lesotho,2015,Population mid-year estimates for females (millions),1.08
426,Lesotho,2015,Sex ratio (males per 100 females),94.5
426,Lesotho,2015,Population aged 0 to 14 years old (percentage),36.6
426,Lesotho,2015,Population aged 60+ years old (percentage),5.8
426,Lesotho,2015,Population density,69.3
426,Lesotho,2022,Population mid-year estimates (millions),2.29
426,Lesotho,2022,Population mid-year estimates for males (millions),1.11
426,Lesotho,2022,Population mid-year estimates for females (millions),1.17
426,Lesotho,2022,Sex ratio (males per 100 females),94.9
426,Lesotho,2022,Population aged 0 to 14 years old (percentage),35.3
426,Lesotho,2022,Population aged 60+ years old (percentage),5.8
426,Lesotho,2022,Population density,75.3
426,Lesotho,2022,Surface area (thousand km2),30
426,Lesotho,2024,Population mid-year estimates (millions),2.34
426,Lesotho,2024,Population mid-year estimates for males (millions),1.14
426,Lesotho,2024,Population mid-year estimates for females (millions),1.20
426,Lesotho,2024,Sex ratio (males per 100 females),95.0
426,Lesotho,2024,Population aged 0 to 14 years old (percentage),34.5
426,Lesotho,2024,Population aged 60+ years old (percentage),5.8
426,Lesotho,2024,Population density,77.0
430,Liberia,2010,Population mid-year estimates (millions),4.06
430,Liberia,2010,Population mid-year estimates for males (millions),2.02
430,Liberia,2010,Population mid-year estimates for females (millions),2.04
430,Liberia,2010,Sex ratio (males per 100 females),98.7
430,Liberia,2010,Population aged 0 to 14 years old (percentage),43.1
430,Liberia,2010,Population aged 60+ years old (percentage),5.1
430,Liberia,2010,Population density,42.1
430,Liberia,2015,Population mid-year estimates (millions),4.66
430,Liberia,2015,Population mid-year estimates for males (millions),2.32
430,Liberia,2015,Population mid-year estimates for females (millions),2.34
430,Liberia,2015,Sex ratio (males per 100 females),99.1
430,Liberia,2015,Population aged 0 to 14 years old (percentage),42.4
430,Liberia,2015,Population aged 60+ years old (percentage),5.0
430,Liberia,2015,Population density,48.4
430,Liberia,2022,Population mid-year estimates (millions),5.37
430,Liberia,2022,Population mid-year estimates for males (millions),2.68
430,Liberia,2022,Population mid-year estimates for females (millions),2.69
430,Liberia,2022,Sex ratio (males per 100 females),99.6
430,Liberia,2022,Population aged 0 to 14 years old (percentage),40.5
430,Liberia,2022,Population aged 60+ years old (percentage),5.2
430,Liberia,2022,Population density,55.8
430,Liberia,2022,Surface area (thousand km2),111
430,Liberia,2024,Population mid-year estimates (millions),5.61
430,Liberia,2024,Population mid-year estimates for males (millions),2.80
430,Liberia,2024,Population mid-year estimates for females (millions),2.81
430,Liberia,2024,Sex ratio (males per 100 females),99.7
430,Liberia,2024,Population aged 0 to 14 years old (percentage),39.5
430,Liberia,2024,Population aged 60+ years old (percentage),5.3
430,Liberia,2024,Population density,58.3
434,Libya,2010,Population mid-year estimates (millions),6.50
434,Libya,2010,Population mid-year estimates for males (millions),3.33
434,Libya,2010,Population mid-year estimates for females (millions),3.17
434,Libya,2010,Sex ratio (males per 100 females),105.0
434,Libya,2010,Population aged 0 to 14 years old (percentage),29.9
434,Libya,2010,Population aged 60+ years old (percentage),5.9
434,Libya,2010,Population density,3.9
434,Libya,2015,Population mid-year estimates (millions),6.53
434,Libya,2015,Population mid-year estimates for males (millions),3.34
434,Libya,2015,Population mid-year estimates for females (millions),3.19
434,Libya,2015,Sex ratio (males per 100 females),104.6
434,Libya,2015,Population aged 0 to 14 years old (percentage),31.0
434,Libya,2015,Population aged 60+ years old (percentage),6.5
434,Libya,2015,Population density,3.9
434,Libya,2022,Population mid-year estimates (millions),7.22
434,Libya,2022,Population mid-year estimates for males (millions),3.67
434,Libya,2022,Population mid-year estimates for females (millions),3.55
434,Libya,2022,Sex ratio (males per 100 females),103.5
434,Libya,2022,Population aged 0 to 14 years old (percentage),28.5
434,Libya,2022,Population aged 60+ years old (percentage),7.6
434,Libya,2022,Population density,4.3
434,Libya,2022,Surface area (thousand km2),"1,676"
434,Libya,2024,Population mid-year estimates (millions),7.38
434,Libya,2024,Population mid-year estimates for males (millions),3.75
434,Libya,2024,Population mid-year estimates for females (millions),3.63
434,Libya,2024,Sex ratio (males per 100 females),103.4
434,Libya,2024,Population aged 0 to 14 years old (percentage),27.4
434,Libya,2024,Population aged 60+ years old (percentage),8.2
434,Libya,2024,Population density,4.4
438,Liechtenstein,2010,Population mid-year estimates (millions),0.04
438,Liechtenstein,2010,Population mid-year estimates for males (millions),0.02
438,Liechtenstein,2010,Population mid-year estimates for females (millions),0.02
438,Liechtenstein,2010,Sex ratio (males per 100 females),98.1
438,Liechtenstein,2010,Population aged 0 to 14 years old (percentage),16.1
438,Liechtenstein,2010,Population aged 60+ years old (percentage),20.0
438,Liechtenstein,2010,Population density,225.0
438,Liechtenstein,2015,Population mid-year estimates (millions),0.04
438,Liechtenstein,2015,Population mid-year estimates for males (millions),0.02
438,Liechtenstein,2015,Population mid-year estimates for females (millions),0.02
438,Liechtenstein,2015,Sex ratio (males per 100 females),98.6
438,Liechtenstein,2015,Population aged 0 to 14 years old (percentage),15.0
438,Liechtenstein,2015,Population aged 60+ years old (percentage),22.7
438,Liechtenstein,2015,Population density,233.8
438,Liechtenstein,2022,Population mid-year estimates (millions),0.04
438,Liechtenstein,2022,Population mid-year estimates for males (millions),0.02
438,Liechtenstein,2022,Population mid-year estimates for females (millions),0.02
438,Liechtenstein,2022,Sex ratio (males per 100 females),98.6
438,Liechtenstein,2022,Population aged 0 to 14 years old (percentage),14.4
438,Liechtenstein,2022,Population aged 60+ years old (percentage),26.9
438,Liechtenstein,2022,Population density,245.7
438,Liechtenstein,2022,Surface area (thousand km2),0
438,Liechtenstein,2024,Population mid-year estimates (millions),0.04
438,Liechtenstein,2024,Population mid-year estimates for males (millions),0.02
438,Liechtenstein,2024,Population mid-year estimates for females (millions),0.02
438,Liechtenstein,2024,Sex ratio (males per 100 females),98.7
438,Liechtenstein,2024,Population aged 0 to 14 years old (percentage),14.3
438,Liechtenstein,2024,Population aged 60+ years old (percentage),28.4
438,Liechtenstein,2024,Population density,249.2
440,Lithuania,2010,Population mid-year estimates (millions),3.10
440,Lithuania,2010,Population mid-year estimates for males (millions),1.43
440,Lithuania,2010,Population mid-year estimates for females (millions),1.67
440,Lithuania,2010,Sex ratio (males per 100 females),85.6
440,Lithuania,2010,Population aged 0 to 14 years old (percentage),14.9
440,Lithuania,2010,Population aged 60+ years old (percentage),22.8
440,Lithuania,2010,Population density,49.5
440,Lithuania,2015,Population mid-year estimates (millions),2.91
440,Lithuania,2015,Population mid-year estimates for males (millions),1.34
440,Lithuania,2015,Population mid-year estimates for females (millions),1.57
440,Lithuania,2015,Sex ratio (males per 100 females),85.4
440,Lithuania,2015,Population aged 0 to 14 years old (percentage),14.6
440,Lithuania,2015,Population aged 60+ years old (percentage),24.8
440,Lithuania,2015,Population density,46.4
440,Lithuania,2022,Population mid-year estimates (millions),2.82
440,Lithuania,2022,Population mid-year estimates for males (millions),1.33
440,Lithuania,2022,Population mid-year estimates for females (millions),1.49
440,Lithuania,2022,Sex ratio (males per 100 females),89.0
440,Lithuania,2022,Population aged 0 to 14 years old (percentage),15.0
440,Lithuania,2022,Population aged 60+ years old (percentage),27.4
440,Lithuania,2022,Population density,45.0
440,Lithuania,2022,Surface area (thousand km2),65
440,Lithuania,2024,Population mid-year estimates (millions),2.86
440,Lithuania,2024,Population mid-year estimates for males (millions),1.35
440,Lithuania,2024,Population mid-year estimates for females (millions),1.51
440,Lithuania,2024,Sex ratio (males per 100 females),89.4
440,Lithuania,2024,Population aged 0 to 14 years old (percentage),14.7
440,Lithuania,2024,Population aged 60+ years old (percentage),27.4
440,Lithuania,2024,Population density,45.7
442,Luxembourg,2010,Population mid-year estimates (millions),0.51
442,Luxembourg,2010,Population mid-year estimates for males (millions),0.25
442,Luxembourg,2010,Population mid-year estimates for females (millions),0.26
442,Luxembourg,2010,Sex ratio (males per 100 females),98.9
442,Luxembourg,2010,Population aged 0 to 14 years old (percentage),17.7
442,Luxembourg,2010,Population aged 60+ years old (percentage),19.0
442,Luxembourg,2010,Population density,195.9
442,Luxembourg,2015,Population mid-year estimates (millions),0.57
442,Luxembourg,2015,Population mid-year estimates for males (millions),0.29
442,Luxembourg,2015,Population mid-year estimates for females (millions),0.28
442,Luxembourg,2015,Sex ratio (males per 100 females),100.6
442,Luxembourg,2015,Population aged 0 to 14 years old (percentage),16.6
442,Luxembourg,2015,Population aged 60+ years old (percentage),19.3
442,Luxembourg,2015,Population density,219.9
442,Luxembourg,2022,Population mid-year estimates (millions),0.65
442,Luxembourg,2022,Population mid-year estimates for males (millions),0.33
442,Luxembourg,2022,Population mid-year estimates for females (millions),0.32
442,Luxembourg,2022,Sex ratio (males per 100 females),101.4
442,Luxembourg,2022,Population aged 0 to 14 years old (percentage),15.9
442,Luxembourg,2022,Population aged 60+ years old (percentage),20.6
442,Luxembourg,2022,Population density,252.2
442,Luxembourg,2022,Surface area (thousand km2),3
442,Luxembourg,2024,Population mid-year estimates (millions),0.67
442,Luxembourg,2024,Population mid-year estimates for males (millions),0.34
442,Luxembourg,2024,Population mid-year estimates for females (millions),0.33
442,Luxembourg,2024,Sex ratio (males per 100 females),101.3
442,Luxembourg,2024,Population aged 0 to 14 years old (percentage),15.8
442,Luxembourg,2024,Population aged 60+ years old (percentage),21.5
442,Luxembourg,2024,Population density,259.9
450,Madagascar,2010,Population mid-year estimates (millions),22.18
450,Madagascar,2010,Population mid-year estimates for males (millions),11.13
450,Madagascar,2010,Population mid-year estimates for females (millions),11.06
450,Madagascar,2010,Sex ratio (males per 100 females),100.6
450,Madagascar,2010,Population aged 0 to 14 years old (percentage),44.0
450,Madagascar,2010,Population aged 60+ years old (percentage),4.2
450,Madagascar,2010,Population density,38.1
450,Madagascar,2015,Population mid-year estimates (millions),25.43
450,Madagascar,2015,Population mid-year estimates for males (millions),12.75
450,Madagascar,2015,Population mid-year estimates for females (millions),12.67
450,Madagascar,2015,Sex ratio (males per 100 females),100.6
450,Madagascar,2015,Population aged 0 to 14 years old (percentage),42.0
450,Madagascar,2015,Population aged 60+ years old (percentage),4.7
450,Madagascar,2015,Population density,43.7
450,Madagascar,2022,Population mid-year estimates (millions),30.44
450,Madagascar,2022,Population mid-year estimates for males (millions),15.27
450,Madagascar,2022,Population mid-year estimates for females (millions),15.17
450,Madagascar,2022,Sex ratio (males per 100 females),100.6
450,Madagascar,2022,Population aged 0 to 14 years old (percentage),39.9
450,Madagascar,2022,Population aged 60+ years old (percentage),5.2
450,Madagascar,2022,Population density,52.3
450,Madagascar,2022,Surface area (thousand km2),587
450,Madagascar,2024,Population mid-year estimates (millions),31.97
450,Madagascar,2024,Population mid-year estimates for males (millions),16.03
450,Madagascar,2024,Population mid-year estimates for females (millions),15.93
